benchmark,width,rob,rs,lsq,ifq,cdb,alu,mul,div,alu_lat,mul_lat,div_lat,mem_lat,fwd,pht,btb,ras,cycles,committed,fetched,issued,ipc,c_alu,c_mul,c_div,c_load,c_store,c_branch,branches,mispredicts,mispred_rate,flushes,squashed,mov,stall_rob,stall_rs,stall_lsq,stall_front,hit_cap
vecadd,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1610,3074,3080,3078,1.90932,1026,0,0,1024,512,512,512,12,0.0234375,12,4,0,0,0,0,1540,0
vecadd,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
vecadd,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1110,3074,3084,3080,2.76937,1026,0,0,1024,512,512,513,12,0.0233918,12,6,0,0,0,0,514,0
dotprod,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1647,3075,3081,3079,1.86703,1027,512,0,1024,0,512,512,12,0.0234375,12,4,0,0,0,0,1541,0
dotprod,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1663,3075,3085,3081,1.84907,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,483,514,0
dotprod,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1736,3075,3085,3081,1.77131,1027,512,0,1024,0,512,513,12,0.0233918,12,6,0,0,0,620,433,0
dotprod,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1751,3075,3085,3075,1.75614,1027,512,0,1024,0,512,512,12,0.0234375,12,0,0,0,0,700,288,0
dotprod,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3097,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,865,45,0
dotprod,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1766,3075,3127,3088,1.74122,1027,512,0,1024,0,512,514,12,0.0233463,12,13,0,0,0,877,33,0
dotprod_unroll,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1714,2697,2734,2732,1.57351,1033,512,0,1024,0,128,128,12,0.09375,12,35,0,0,0,173,1409,0
dotprod_unroll,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1765,2697,2738,2734,1.52805,1033,512,0,1024,0,128,128,12,0.09375,12,37,0,0,0,856,130,0
dotprod_unroll,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1695,2697,2743,2735,1.59115,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,854,56,0
dotprod_unroll,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1694,2697,2751,2735,1.59209,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,861,17,0
dotprod_unroll,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1694,2697,2767,2735,1.59209,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,861,17,0
dotprod_unroll,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1694,2697,2799,2735,1.59209,1033,512,0,1024,0,128,128,12,0.09375,12,38,0,0,0,861,17,0
matmul,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,13328,16466,17255,16889,1.23544,7514,3468,0,3456,144,1884,1884,186,0.0987261,186,423,0,0,0,0,9479,0
matmul,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
matmul,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,13591,16466,19725,18502,1.21154,7514,3468,0,3456,144,1884,2130,418,0.196244,347,2036,0,0,0,0,2044,0
ptrchase,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1540,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,1348,1026,0
ptrchase,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1542,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1546,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1554,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1570,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
ptrchase,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,2598,1538,1602,1538,0.591994,514,0,0,512,0,512,512,12,0.0234375,12,0,0,0,0,2311,51,0
saxpy,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,2146,3587,3591,3589,1.67148,1027,512,0,1024,512,512,512,12,0.0234375,12,2,0,0,0,0,2051,0
saxpy,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1657,3587,3598,3594,2.16476,1027,512,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,531,514,0
saxpy,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1783,3587,3598,3594,2.01178,1027,512,0,1024,512,512,513,12,0.0233918,12,7,0,0,0,693,382,0
saxpy,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1710,3587,3608,3597,2.09766,1027,512,0,1024,512,512,513,12,0.0233918,12,10,0,0,0,754,69,0
saxpy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1735,3587,3615,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
saxpy,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1735,3587,3647,3596,2.06744,1027,512,0,1024,512,512,513,12,0.0233918,12,9,0,0,0,802,27,0
ilp_serial,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,4038,6002,6005,6004,1.48638,4002,0,0,0,0,2000,2000,12,0.006,12,2,0,0,0,0,4003,0
ilp_serial,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,3130,6002,6019,6015,1.91757,4002,0,0,0,0,2000,2004,12,0.00598802,12,13,0,1182,0,0,1846,0
ilp_serial,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,3158,6002,6137,6129,1.90057,4002,0,0,0,0,2000,2029,12,0.00591424,12,127,0,1887,0,0,1067,0
ilp_serial,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,3153,6002,6019,6003,1.90358,4002,0,0,0,0,2000,2000,12,0.006,12,1,0,1885,0,0,981,0
ilp_serial,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,3119,6002,6038,6006,1.92433,4002,0,0,0,0,2000,2001,12,0.005997,12,4,0,2251,0,0,356,0
ilp_serial,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,3238,6002,6191,6127,1.85361,4002,0,0,0,0,2000,2000,12,0.006,12,125,0,2585,0,0,76,0
ilp_parallel,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,1550,3002,3008,3006,1.93677,2502,0,0,0,0,500,500,12,0.024,12,4,0,0,0,0,1504,0
ilp_parallel,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,1555,3002,3012,3008,1.93055,2502,0,0,0,0,500,501,12,0.0239521,12,6,0,631,0,0,345,0
ilp_parallel,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,1551,3002,3014,3009,1.93553,2502,0,0,0,0,500,501,12,0.0239521,12,7,0,678,0,0,241,0
ilp_parallel,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,1547,3002,3022,3006,1.94053,2502,0,0,0,0,500,500,12,0.024,12,4,0,659,0,0,218,0
ilp_parallel,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,1553,3002,3114,3110,1.93303,2502,0,0,0,0,500,500,12,0.024,12,108,0,770,0,0,113,0
ilp_parallel,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,1558,3002,3156,3129,1.92683,2502,0,0,0,0,500,500,12,0.024,12,127,0,849,0,0,37,0
mul_heavy,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,4863,2404,2410,2408,0.494345,404,1600,0,0,0,400,400,12,0.03,12,4,0,3858,0,0,847,0
mul_heavy,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,4866,2404,2414,2410,0.49404,404,1600,0,0,0,400,401,12,0.0299252,12,6,0,4095,0,0,195,0
mul_heavy,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,4866,2404,2416,2414,0.49404,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,4111,0,0,177,0
mul_heavy,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,4866,2404,2426,2414,0.49404,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,4159,0,0,129,0
mul_heavy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,4866,2404,2440,2414,0.49404,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,4239,0,0,49,0
mul_heavy,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,4851,2404,2468,2414,0.495568,404,1600,0,0,0,400,401,12,0.0299252,12,10,0,4196,0,0,33,0
div_heavy,4,128,128,32,2,4,2,1,1,1,3,10,5,1,1024,256,16,6088,1004,1009,1007,0.164915,204,0,600,0,0,200,200,12,0.06,12,3,0,4880,0,0,426,0
div_heavy,4,128,128,32,4,4,2,1,1,1,3,10,5,1,1024,256,16,6058,1004,1008,1004,0.165731,204,0,600,0,0,200,200,12,0.06,12,0,0,5029,0,0,112,0
div_heavy,4,128,128,32,8,4,2,1,1,1,3,10,5,1,1024,256,16,6058,1004,1012,1004,0.165731,204,0,600,0,0,200,200,12,0.06,12,0,0,5032,0,0,106,0
div_heavy,4,128,128,32,16,4,2,1,1,1,3,10,5,1,1024,256,16,6058,1004,1020,1004,0.165731,204,0,600,0,0,200,200,12,0.06,12,0,0,5038,0,0,88,0
div_heavy,4,128,128,32,32,4,2,1,1,1,3,10,5,1,1024,256,16,6088,1004,1039,1007,0.164915,204,0,600,0,0,200,200,12,0.06,12,3,0,5059,0,0,64,0
div_heavy,4,128,128,32,64,4,2,1,1,1,3,10,5,1,1024,256,16,6088,1004,1071,1007,0.164915,204,0,600,0,0,200,200,12,0.06,12,3,0,5062,0,0,37,0
